Via Unit 0,Via Unit 3,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
200,0,1,R,MixedBits,Digital Input 3.1,0,Basic
200,0,1,R,MixedBits,Digital Input 3.2,1,Basic
200,0,1,R,MixedBits,Digital Input 3.3,2,Basic
200,0,1,R,MixedBits,Digital Input 3.4,3,Basic
200,0,1,R,MixedBits,Digital Input 3.5,4,Basic
200,0,1,R,MixedBits,Digital Input 3.6,5,Basic
200,0,1,R,MixedBits,Digital Input 3.7,6,Basic
200,0,1,R,MixedBits,Digital Input 3.8,7,Basic
200,0,1,R,MixedBits,Digital Input 3.9,8,Basic
200,0,1,R,MixedBits,Digital Input 3.10,9,Basic
200,0,1,R,MixedBits,Digital Input 3.11,10,Basic
200,0,1,R,MixedBits,Digital Input 3.12,11,Basic
200,0,1,R,MixedBits,Digital Input 3.13,12,Basic
200,0,1,R,MixedBits,Digital Input 3.14,13,Basic
200,0,1,R,MixedBits,Digital Input 3.15,14,Basic
200,0,1,R,MixedBits,Digital Input 3.16,15,Basic
201,1,1,R,MixedBits,Digital Input 3.17,0,Basic
201,1,1,R,MixedBits,Digital Input 3.18,1,Basic
201,1,1,R,MixedBits,Digital Input 3.19,2,Basic
201,1,1,R,MixedBits,Digital Input 3.20,3,Basic
201,1,1,R,MixedBits,Digital Input 3.21,4,Basic
201,1,1,R,MixedBits,Digital Input 3.22,5,Basic
201,1,1,R,MixedBits,Digital Input 3.23,6,Basic
201,1,1,R,MixedBits,Digital Input 3.24,7,Basic
201,1,1,R,MixedBits,Digital Input 3.25,8,Basic
201,1,1,R,MixedBits,Digital Input 3.26,9,Basic
201,1,1,R,MixedBits,Digital Input 3.27,10,Basic
201,1,1,R,MixedBits,Digital Input 3.28,11,Basic
201,1,1,R,MixedBits,Digital Input 3.29,12,Basic
201,1,1,R,MixedBits,Digital Input 3.30,13,Basic
202,2,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
203,3,2,RW,DWord,Counter of Digital Input 3.1,,Basic
205,5,2,RW,DWord,Counter of Digital Input 3.2,,Basic
207,7,2,RW,DWord,Counter of Digital Input 3.3,,Basic
209,9,2,RW,DWord,Counter of Digital Input 3.4,,Basic
211,11,2,RW,DWord,Counter of Digital Input 3.5,,Basic
213,13,2,RW,DWord,Counter of Digital Input 3.6,,Basic
215,15,2,RW,DWord,Counter of Digital Input 3.7,,Basic
217,17,2,RW,DWord,Counter of Digital Input 3.8,,Basic
219,19,2,RW,DWord,Counter of Digital Input 3.9,,Basic
221,21,2,RW,DWord,Counter of Digital Input 3.10,,Basic
223,23,2,RW,DWord,Counter of Digital Input 3.11,,Basic
225,25,2,RW,DWord,Counter of Digital Input 3.12,,Basic
227,27,2,RW,DWord,Counter of Digital Input 3.13,,Basic
229,29,2,RW,DWord,Counter of Digital Input 3.14,,Basic
231,31,2,RW,DWord,Counter of Digital Input 3.15,,Basic
233,33,2,RW,DWord,Counter of Digital Input 3.16,,Basic
235,35,2,RW,DWord,Counter of Digital Input 3.17,,Basic
237,37,2,RW,DWord,Counter of Digital Input 3.18,,Basic
239,39,2,RW,DWord,Counter of Digital Input 3.19,,Basic
241,41,2,RW,DWord,Counter of Digital Input 3.20,,Basic
243,43,2,RW,DWord,Counter of Digital Input 3.21,,Basic
245,45,2,RW,DWord,Counter of Digital Input 3.22,,Basic
247,47,2,RW,DWord,Counter of Digital Input 3.23,,Basic
249,49,2,RW,DWord,Counter of Digital Input 3.24,,Basic
251,51,2,RW,DWord,Counter of Digital Input 3.25,,Basic
253,53,2,RW,DWord,Counter of Digital Input 3.26,,Basic
255,55,2,RW,DWord,Counter of Digital Input 3.27,,Basic
257,57,2,RW,DWord,Counter of Digital Input 3.28,,Basic
259,59,2,RW,DWord,Counter of Digital Input 3.29,,Basic
261,61,2,RW,DWord,Counter of Digital Input 3.30,,Basic
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 3.1,,Obsolete
700,500,1,W,Word,Reserved - Do Not Use,,Reserved
701,501,1,W,Word,Reserved - Do Not Use,,Reserved
702,502,1,W,Word,Reserved - Do Not Use,,Reserved
703,503,1,W,Word,Reserved - Do Not Use,,Reserved
704,504,1,W,Word,Reserved - Do Not Use,,Reserved
705,505,1,W,Word,Reserved - Do Not Use,,Reserved
706,506,1,W,Word,Reserved - Do Not Use,,Reserved
707,507,1,W,Word,Reserved - Do Not Use,,Reserved
708,508,1,W,Word,Reserved - Do Not Use,,Reserved
709,509,1,W,Word,Reserved - Do Not Use,,Reserved
,510,1,RW,Word,(Internal) Stored Firmware Version,,Expert
,511,1,RW,Word,(Internal) Stored Firmware Revision,,Expert
,512,1,RW,Word,(Internal) Stored Base Firmware Revision,,Expert
,513,1,RW,Word,(Internal) Stored Expanded Flash Magic Value,,Expert
,514,1,RW,Word,(Internal) Stored PCB Revision,,Expert
,515,1,RW,Word,(Internal) Stored PCB Serial Number,,Expert
