Via Unit 0,Via Unit 3,R/W,Content,Category
200,0,RW,Digital Output 3.1,Basic
201,1,RW,Digital Output 3.2,Basic
202,2,RW,Digital Output 3.3,Basic
203,3,RW,Digital Output 3.4,Basic
204,4,RW,Digital Output 3.5,Basic
205,5,RW,Digital Output 3.6,Basic
206,6,RW,Digital Output 3.7,Basic
207,7,RW,Digital Output 3.8,Basic
208,8,RW,Digital Output 3.9,Basic
209,9,RW,Digital Output 3.10,Basic
210,10,RW,Digital Output 3.11,Basic
211,11,RW,Digital Output 3.12,Basic
212,12,RW,Digital Output 3.13,Basic
213,13,RW,Digital Output 3.14,Basic
214,14,R,Digital Input 3.1,Basic
215,15,R,Digital Input 3.2,Basic
216,16,R,Digital Input 3.3,Basic
217,17,R,Digital Input 3.4,Basic
218,18,R,Digital Input 3.5,Basic
219,19,R,Digital Input 3.6,Basic
220,20,R,Digital Input 3.7,Basic
221,21,R,Digital Input 3.8,Basic
222,22,R,Digital Input 3.9,Basic
223,23,R,Digital Input 3.10,Basic
224,24,R,Digital Input 3.11,Basic
225,25,R,Digital Input 3.12,Basic
226,26,R,Digital Input 3.13,Basic
227,27,R,Digital Input 3.14,Basic
1200,1000,RW,MWD reset indication,Advanced
1202,1002,R,Reset group MCU,Advanced
1203,1003,RW,Save current configuration and use on startup,Advanced
1204,1004,RW,(Internal) Firmware programming toggle,Expert
1205,1005,RW,(Internal) Firmware reprogramming toggle,Expert
1206,1006,RW,(Internal) Firmware calibration programming toggle,Expert
1207,1007,RW,Enable DirectSwitch on DI 3.1,Advanced
1208,1008,RW,Enable DirectSwitch on DI 3.2,Advanced
1209,1009,RW,Enable DirectSwitch on DI 3.3,Advanced
1210,1010,RW,Enable DirectSwitch on DI 3.4,Advanced
1211,1011,RW,Enable DirectSwitch on DI 3.5,Advanced
1212,1012,RW,Enable DirectSwitch on DI 3.6,Advanced
1213,1013,RW,Enable DirectSwitch on DI 3.7,Advanced
1214,1014,RW,Enable DirectSwitch on DI 3.8,Advanced
1215,1015,RW,Enable DirectSwitch on DI 3.9,Advanced
1216,1016,RW,Enable DirectSwitch on DI 3.10,Advanced
1217,1017,RW,Enable DirectSwitch on DI 3.11,Advanced
1218,1018,RW,Enable DirectSwitch on DI 3.12,Advanced
1219,1019,RW,Enable DirectSwitch on DI 3.13,Advanced
1220,1020,RW,Enable DirectSwitch on DI 3.14,Advanced
1221,1021,RW,Invert DirectSwitch Polarity on DI 3.1,Advanced
1222,1022,RW,Invert DirectSwitch Polarity on DI 3.2,Advanced
1223,1023,RW,Invert DirectSwitch Polarity on DI 3.3,Advanced
1224,1024,RW,Invert DirectSwitch Polarity on DI 3.4,Advanced
1225,1025,RW,Invert DirectSwitch Polarity on DI 3.5,Advanced
1226,1026,RW,Invert DirectSwitch Polarity on DI 3.6,Advanced
1227,1027,RW,Invert DirectSwitch Polarity on DI 3.7,Advanced
1228,1028,RW,Invert DirectSwitch Polarity on DI 3.8,Advanced
1229,1029,RW,Invert DirectSwitch Polarity on DI 3.9,Advanced
1230,1030,RW,Invert DirectSwitch Polarity on DI 3.10,Advanced
1231,1031,RW,Invert DirectSwitch Polarity on DI 3.11,Advanced
1232,1032,RW,Invert DirectSwitch Polarity on DI 3.12,Advanced
1233,1033,RW,Invert DirectSwitch Polarity on DI 3.13,Advanced
1234,1034,RW,Invert DirectSwitch Polarity on DI 3.14,Advanced
1235,1035,RW,Enable DirectSwitch Toggle Mode on DI 3.1,Advanced
1236,1036,RW,Enable DirectSwitch Toggle Mode on DI 3.2,Advanced
1237,1037,RW,Enable DirectSwitch Toggle Mode on DI 3.3,Advanced
1238,1038,RW,Enable DirectSwitch Toggle Mode on DI 3.4,Advanced
1239,1039,RW,Enable DirectSwitch Toggle Mode on DI 3.5,Advanced
1240,1040,RW,Enable DirectSwitch Toggle Mode on DI 3.6,Advanced
1241,1041,RW,Enable DirectSwitch Toggle Mode on DI 3.7,Advanced
1242,1042,RW,Enable DirectSwitch Toggle Mode on DI 3.8,Advanced
1243,1043,RW,Enable DirectSwitch Toggle Mode on DI 3.9,Advanced
1244,1044,RW,Enable DirectSwitch Toggle Mode on DI 3.10,Advanced
1245,1045,RW,Enable DirectSwitch Toggle Mode on DI 3.11,Advanced
1246,1046,RW,Enable DirectSwitch Toggle Mode on DI 3.12,Advanced
1247,1047,RW,Enable DirectSwitch Toggle Mode on DI 3.13,Advanced
1248,1048,RW,Enable DirectSwitch Toggle Mode on DI 3.14,Advanced
