Via Unit 0,Via Unit 2,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
100,0,1,R,MixedBits,Digital Input 2.1,0,Basic
100,0,1,R,MixedBits,Digital Input 2.2,1,Basic
100,0,1,R,MixedBits,Digital Input 2.3,2,Basic
100,0,1,R,MixedBits,Digital Input 2.4,3,Basic
100,0,1,R,MixedBits,Digital Input 2.5,4,Basic
100,0,1,R,MixedBits,Digital Input 2.6,5,Basic
101,1,1,RW,MixedBits,Relay Output 2.1,0,Basic
101,1,1,RW,MixedBits,Relay Output 2.2,1,Basic
101,1,1,RW,MixedBits,Relay Output 2.3,2,Basic
101,1,1,RW,MixedBits,Relay Output 2.4,3,Basic
101,1,1,RW,MixedBits,Relay Output 2.5,4,Basic
102,2,1,RW,Word,Analog Output Value 2.1 (0..4000 ~ 0..10V),,Basic
103,3,1,RW,Word,Analog Output Value 2.2 (0..4000 ~ 0..10V),,Basic
104,4,1,RW,Word,Analog Output Value 2.3 (0..4000 ~ 0..10V),,Basic
105,5,1,RW,Word,Analog Output Value 2.4 (0..4000 ~ 0..10V),,Basic
106,6,2,R,Real,Analog Input Value 2.1,,Basic
108,8,2,R,Real,Analog Input Value 2.2,,Basic
110,10,2,R,Real,Analog Input Value 2.3,,Basic
112,12,2,R,Real,Analog Input Value 2.4,,Basic
114,14,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
115,15,1,R,Word,Length of RS485 TX Queue 2.1,,Obsolete
116,16,2,RW,DWord,Counter of Digital Input 2.1,,Basic
118,18,2,RW,DWord,Counter of Digital Input 2.2,,Basic
120,20,2,RW,DWord,Counter of Digital Input 2.3,,Basic
122,22,2,RW,DWord,Counter of Digital Input 2.4,,Basic
124,24,2,RW,DWord,Counter of Digital Input 2.5,,Basic
126,26,2,RW,DWord,Counter of Digital Input 2.6,,Basic
128,28,1,RW,MixedBits,Synchronised DO/RO 2.1,0,Advanced
128,28,1,RW,MixedBits,Synchronised DO/RO 2.2,1,Advanced
128,28,1,RW,MixedBits,Synchronised DO/RO 2.3,2,Advanced
128,28,1,RW,MixedBits,Synchronised DO/RO 2.4,3,Advanced
128,28,1,RW,MixedBits,Synchronised DO/RO 2.5,4,Advanced
129,29,1,RW,MixedBits,Synchronised DO/RO Lock 2.1,0,Advanced
129,29,1,RW,MixedBits,Synchronised DO/RO Lock 2.2,1,Advanced
129,29,1,RW,MixedBits,Synchronised DO/RO Lock 2.3,2,Advanced
129,29,1,RW,MixedBits,Synchronised DO/RO Lock 2.4,3,Advanced
129,29,1,RW,MixedBits,Synchronised DO/RO Lock 2.5,4,Advanced
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 2.1,,Obsolete
,500,1,RW,Word,RS485 TERMIOS CFlags 2.1,,Expert
,501,1,RW,Word,RS485 TERMIOS LFlags 2.1,,Expert
,502,1,RW,Word,RS485 TERMIOS IFlags 2.1,,Expert
,503,1,RW,Word,RS485 TERMIOS LDisc 2.1,,Expert
,504,1,RW,Word,RS485 ModBus Timeout 2.1,,Basic
