Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
0,0,1,R,MixedBits,Digital Input 1.1,0,Basic
0,0,1,R,MixedBits,Digital Input 1.2,1,Basic
0,0,1,R,MixedBits,Digital Input 1.3,2,Basic
0,0,1,R,MixedBits,Digital Input 1.4,3,Basic
0,0,1,R,MixedBits,Digital Input 1.5,4,Basic
0,0,1,R,MixedBits,Digital Input 1.6,5,Basic
0,0,1,R,MixedBits,Digital Input 1.7,6,Basic
0,0,1,R,MixedBits,Digital Input 1.8,7,Basic
0,0,1,R,MixedBits,Digital Input 1.9,8,Basic
0,0,1,R,MixedBits,Digital Input 1.10,9,Basic
0,0,1,R,MixedBits,Digital Input 1.11,10,Basic
0,0,1,R,MixedBits,Digital Input 1.12,11,Basic
0,0,1,R,MixedBits,Digital Input 1.13,12,Basic
0,0,1,R,MixedBits,Digital Input 1.14,13,Basic
0,0,1,R,MixedBits,Digital Input 1.15,14,Basic
0,0,1,R,MixedBits,Digital Input 1.16,15,Basic
1,1,1,R,MixedBits,Digital Input 1.17,0,Basic
1,1,1,R,MixedBits,Digital Input 1.18,1,Basic
1,1,1,R,MixedBits,Digital Input 1.19,2,Basic
1,1,1,R,MixedBits,Digital Input 1.20,3,Basic
1,1,1,R,MixedBits,Digital Input 1.21,4,Basic
1,1,1,R,MixedBits,Digital Input 1.22,5,Basic
1,1,1,R,MixedBits,Digital Input 1.23,6,Basic
1,1,1,R,MixedBits,Digital Input 1.24,7,Basic
2,2,1,RW,MixedBits,Group MasterWatchDog (MWD) Status,,Advanced
3,3,2,RW,DWord,Counter of Digital Input 1.1,,Basic
5,5,2,RW,DWord,Counter of Digital Input 1.2,,Basic
7,7,2,RW,DWord,Counter of Digital Input 1.3,,Basic
9,9,2,RW,DWord,Counter of Digital Input 1.4,,Basic
11,11,2,RW,DWord,Counter of Digital Input 1.5,,Basic
13,13,2,RW,DWord,Counter of Digital Input 1.6,,Basic
15,15,2,RW,DWord,Counter of Digital Input 1.7,,Basic
17,17,2,RW,DWord,Counter of Digital Input 1.8,,Basic
19,19,2,RW,DWord,Counter of Digital Input 1.9,,Basic
21,21,2,RW,DWord,Counter of Digital Input 1.10,,Basic
23,23,2,RW,DWord,Counter of Digital Input 1.11,,Basic
25,25,2,RW,DWord,Counter of Digital Input 1.12,,Basic
27,27,2,RW,DWord,Counter of Digital Input 1.13,,Basic
29,29,2,RW,DWord,Counter of Digital Input 1.14,,Basic
31,31,2,RW,DWord,Counter of Digital Input 1.15,,Basic
33,33,2,RW,DWord,Counter of Digital Input 1.16,,Basic
35,35,2,RW,DWord,Counter of Digital Input 1.17,,Basic
37,37,2,RW,DWord,Counter of Digital Input 1.18,,Basic
39,39,2,RW,DWord,Counter of Digital Input 1.19,,Basic
41,41,2,RW,DWord,Counter of Digital Input 1.20,,Basic
43,43,2,RW,DWord,Counter of Digital Input 1.21,,Basic
45,45,2,RW,DWord,Counter of Digital Input 1.22,,Basic
47,47,2,RW,DWord,Counter of Digital Input 1.23,,Basic
